"points" "price" "province"
"132067" "2" 50 "California"
"61725" "1" 12 "California"
"119707" "2" 36 "California"
"91667" "0" 14 "California"
"140780" "1" 20 "California"
"38252" "3" 46 "California"
"109938" "0" 18 "California"
"16282" "1" 25 "California"
"96295" "1" 25 "California"
"39801" "1" 18 "California"
"106744" "2" 48 "California"
"68466" "2" 26 "California"
"41546" "3" 90 "California"
"133032" "1" 52 "California"
"85540" "2" 28 "California"
"112454" "1" 20 "California"
"55894" "1" 50 "California"
"126620" "1" 50 "California"
"48704" "1" 10 "Washington"
"87510" "1" 60 "California"
"52937" "1" 34 "California"
"121280" "2" 48 "Washington"
"19272" "2" 24 "California"
"136141" "1" 45 "Oregon"
"47945" "2" 25 "California"
"36733" "2" 65 "Oregon"
"53550" "2" 40 "Oregon"
"54708" "2" 56 "California"
"93656" "2" 110 "California"
"143677" "0" 11 "California"
"83410" "2" 25 "California"
"26744" "2" 48 "California"
"77902" "2" 40 "Washington"
"75172" "1" 10 "California"
"16324" "2" 24 "California"
"32421" "2" 19 "California"
"88431" "2" 120 "California"
"49828" "2" 10 "California"
"134707" "1" 14 "California"
"95820" "1" 24 "Oregon"
"122537" "2" 65 "California"
"99275" "2" 125 "California"
"17681" "1" 21 "California"
"64612" "2" 29 "California"
"603" "2" 55 "California"
"4692" "1" 30 "Washington"
"72811" "1" 14 "New York"
"75944" "0" 38 "California"
"16810" "2" 100 "Oregon"
"110779" "1" 30 "California"
"78120" "1" 22 "Washington"
"32185" "2" 70 "California"
"53293" "0" 22 "California"
"30776" "2" 55 "California"
"50540" "0" 15 "California"
"83458" "0" 39 "California"
"64178" "0" 19 "California"
"119108" "0" 33 "California"
"72212" "2" 60 "Washington"
"16968" "1" 48 "Oregon"
"117060" "0" 14 "California"
"31094" "1" 30 "Washington"
"11760" "2" 59 "California"
"106647" "0" 32 "California"
"54130" "2" 40 "Oregon"
"81676" "0" 28 "California"
"118705" "0" 22 "California"
"18403" "0" 20 "California"
"62202" "0" 21 "Oregon"
"148836" "1" 50 "New York"
"50472" "1" 24 "California"
"141008" "0" 24 "California"
"29450" "2" 42 "Washington"
"17717" "1" 24 "California"
"147773" "1" 8 "California"
"114561" "2" 90 "California"
"52843" "0" 15 "California"
"145474" "1" 20 "California"
"17495" "0" 30 "California"
"130148" "0" 18 "California"
"145649" "1" 28 "Washington"
"91807" "1" 24 "California"
"73973" "1" 38 "California"
"29263" "1" 23 "Washington"
"49093" "2" 50 "Washington"
"102736" "1" 20 "Washington"
"45976" "1" 35 "Oregon"
"98517" "2" 65 "California"
"64199" "0" 8 "California"
"114234" "1" 30 "California"
"133898" "2" 40 "California"
"92360" "0" 18 "Washington"
"36656" "1" 25 "California"
"132252" "1" 36 "California"
"93691" "1" 18 "Oregon"
"72838" "0" 13 "California"
"122347" "2" 40 "California"
"42408" "2" 20 "California"
"104243" "1" 14 "California"
"39053" "1" 14 "California"
"120411" "0" 20 "California"
"70861" "0" 20 "California"
"53175" "2" 50 "California"
"33162" "1" 24 "California"
"63288" "1" 26 "California"
"90386" "1" 42 "California"
"101545" "1" 35 "California"
"38035" "1" 40 "California"
"143340" "0" 17 "California"
"135743" "2" 26 "Washington"
"136281" "1" 24 "Oregon"
"16768" "1" 18 "California"
"20017" "1" 19 "California"
"7186" "1" 35 "California"
"80680" "2" 32 "California"
"39948" "1" 24 "Washington"
"83020" "1" 10 "California"
"125651" "1" 18 "California"
"32427" "2" 18 "California"
"67249" "1" 25 "New York"
"44160" "2" 28 "Washington"
"32901" "1" 23 "California"
"63463" "1" 40 "California"
"43540" "2" 48 "California"
"38237" "2" 40 "California"
"129523" "0" 10 "California"
"15978" "1" 24 "California"
"27411" "1" 23 "Washington"
"93346" "2" 50 "California"
"113049" "1" 20 "California"
"6832" "1" 20 "California"
"14491" "2" 48 "California"
"79729" "1" 28 "Washington"
"118849" "0" 15 "California"
"114556" "2" 136 "California"
"63336" "1" 30 "California"
"574" "2" 95 "California"
"27043" "2" 20 "California"
"15543" "2" 42 "Washington"
"14925" "1" 16 "New York"
"38754" "2" 60 "California"
"123301" "1" 52 "California"
"91099" "1" 14 "California"
"121215" "0" 38 "California"
"114588" "1" 15 "Washington"
"86310" "1" 30 "California"
"19037" "2" 28 "California"
"78345" "1" 11 "California"
"90590" "2" 60 "California"
"5341" "1" 33 "California"
"117175" "0" 24 "California"
"124220" "1" 20 "California"
"11272" "0" 32 "Oregon"
"17172" "2" 44 "California"
"35772" "2" 27 "California"
"142526" "1" 29 "California"
"12790" "1" 65 "Oregon"
"65816" "1" 27 "California"
"890" "2" 35 "California"
"132105" "1" 75 "California"
"81713" "1" 20 "California"
"118062" "1" 31 "California"
"91021" "2" 60 "California"
"147731" "0" 14 "California"
"55269" "2" 43 "California"
"66012" "0" 16 "California"
"47238" "1" 20 "New York"
"99619" "1" 25 "California"
"72516" "1" 15 "California"
"25604" "1" 28 "Washington"
"9479" "0" 60 "California"
"42905" "2" 100 "California"
"150789" "2" 32 "California"
"118356" "1" 30 "California"
"82289" "2" 50 "California"
"113477" "2" 42 "California"
"116454" "1" 16 "California"
"124580" "2" 48 "California"
"22877" "1" 48 "California"
"107508" "0" 22 "California"
"21568" "2" 40 "California"
"119538" "3" 45 "California"
"94955" "1" 20 "California"
"12105" "2" 60 "California"
"141964" "1" 28 "California"
"134182" "1" 32 "Oregon"
"33973" "0" 25 "California"
"146986" "1" 22 "California"
"26246" "1" 15 "New York"
"90372" "1" 15 "Oregon"
"59282" "2" 25 "California"
"78998" "1" 35 "California"
"82551" "0" 34 "California"
"94189" "1" 22 "Washington"
"83697" "1" 22 "California"
"135737" "2" 20 "California"
"65920" "2" 20 "California"
"95397" "1" 18 "California"
"31567" "2" 25 "California"
"95276" "0" 18 "New York"
"125707" "1" 35 "Washington"
"123669" "2" 50 "California"
"15566" "1" 15 "California"
"48230" "2" 80 "California"
"120522" "2" 75 "California"
"23521" "1" 60 "California"
"133512" "1" 13 "California"
"79516" "2" 47 "Washington"
"39477" "1" 42 "California"
"116509" "0" 32 "California"
"76069" "1" 20 "New York"
"70359" "1" 18 "California"
"57906" "1" 24 "California"
"38136" "2" 20 "California"
"95487" "1" 22 "California"
"90390" "1" 25 "California"
"150660" "1" 20 "California"
"134396" "1" 40 "California"
"32634" "1" 30 "California"
"107212" "0" 14 "California"
"35669" "1" 26 "California"
"48153" "0" 14 "California"
"36755" "1" 14 "California"
"13065" "2" 28 "California"
"28700" "2" 125 "California"
"18969" "2" 34 "Oregon"
"64060" "1" 30 "Washington"
"149200" "1" 35 "Washington"
"105719" "2" 50 "California"
"89073" "0" 45 "Oregon"
"84193" "2" 56 "California"
"147916" "2" 45 "California"
"30553" "1" 20 "California"
"82897" "0" 24 "California"
"77775" "1" 25 "Washington"
"124535" "1" 15 "Washington"
"108938" "2" 31 "California"
"100960" "1" 42 "California"
"39269" "2" 75 "California"
"29208" "1" 22 "Oregon"
"56986" "3" 25 "California"
"113697" "0" 22 "California"
"23499" "1" 23 "California"
"35035" "1" 55 "Oregon"
"120208" "1" 32 "California"
"115309" "2" 39 "California"
"26864" "2" 14 "California"
"98733" "1" 30 "California"
"95206" "1" 50 "California"
"11496" "2" 105 "Oregon"
"149053" "1" 9 "Washington"
"89758" "1" 15 "Washington"
"124070" "0" 26 "California"
"71029" "1" 40 "California"
"4462" "1" 50 "Oregon"
"148582" "2" 18 "Washington"
"56736" "1" 38 "Washington"
"64256" "1" 24 "California"
